epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.9206,1.35716,2.77169,1.14627,0.82601,0.89777,0.90199,0.59703,1.35433,1.62438,1.10137,0.000237704,0.000237704,0.000237704
2,138.815,1.17818,1.38619,1.08983,0.90334,0.81251,0.95703,0.67127,1.19561,0.85919,1.03698,0.000452157,0.000452157,0.000452157
3,203.344,1.12957,0.95168,1.06971,0.85671,0.94531,0.96337,0.69002,1.15883,0.74652,1.02753,0.000643048,0.000643048,0.000643048
4,267.747,1.07549,0.80042,1.05386,0.92326,0.85733,0.97477,0.73172,1.07712,0.70792,1.01105,0.000607971,0.000607971,0.000607971
5,332.259,1.01325,0.69869,1.03018,0.89565,0.97003,0.97279,0.71882,1.06214,0.71225,1.00008,0.000572628,0.000572628,0.000572628
6,397.581,0.96932,0.63962,1.0081,0.93095,0.96073,0.96936,0.73505,1.01487,0.63584,0.98628,0.000537285,0.000537285,0.000537285
7,462.535,0.95514,0.61964,0.99978,0.95214,0.96519,0.97611,0.75212,1.02445,0.60435,0.97885,0.000501942,0.000501942,0.000501942
8,527.819,0.93646,0.58101,0.99876,0.96867,0.9634,0.97837,0.76757,0.96918,0.57748,0.9612,0.000466599,0.000466599,0.000466599
9,593.433,0.91707,0.5657,0.99277,0.9797,0.97633,0.97483,0.77482,0.94667,0.55424,0.9493,0.000431256,0.000431256,0.000431256
10,659.06,0.8951,0.54107,0.9876,0.97881,0.97545,0.97725,0.78964,0.92424,0.53675,0.93914,0.000395913,0.000395913,0.000395913
11,724.916,0.84037,0.48585,0.96291,0.97505,0.97656,0.97811,0.79657,0.89071,0.52221,0.93519,0.00036057,0.00036057,0.00036057
12,789.865,0.82021,0.46412,0.95631,0.96101,0.9788,0.97909,0.80772,0.88414,0.50478,0.9288,0.000325227,0.000325227,0.000325227
13,854.946,0.80238,0.44417,0.94074,0.97908,0.97868,0.97849,0.79903,0.87469,0.49958,0.92778,0.000289884,0.000289884,0.000289884
14,920.055,0.7754,0.42893,0.93372,0.97778,0.97947,0.97849,0.80988,0.84665,0.46639,0.91966,0.000254541,0.000254541,0.000254541
15,985.439,0.76711,0.41638,0.93268,0.97674,0.97875,0.98055,0.82102,0.83512,0.46088,0.91521,0.000219198,0.000219198,0.000219198
16,1051.73,0.74792,0.39988,0.92707,0.97949,0.9784,0.98011,0.82077,0.83726,0.44367,0.91095,0.000183855,0.000183855,0.000183855
17,1116.97,0.73544,0.39075,0.92029,0.97802,0.98052,0.98116,0.82366,0.80761,0.43546,0.90516,0.000148512,0.000148512,0.000148512
18,1182.21,0.71529,0.37655,0.9148,0.97607,0.98031,0.98186,0.83772,0.79661,0.42642,0.90265,0.000113169,0.000113169,0.000113169
19,1247.76,0.70394,0.36873,0.91245,0.98091,0.98131,0.98323,0.84154,0.78325,0.41628,0.90032,7.7826e-05,7.7826e-05,7.7826e-05
20,1313.44,0.68953,0.35959,0.90482,0.97885,0.98127,0.98355,0.84531,0.7725,0.40472,0.89692,4.2483e-05,4.2483e-05,4.2483e-05
