epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,587.85,0.29282,0.37943,0.3278,0.84203,0.96683,0.9932,0.98889,0.9736,0.96683,0.9932,0.98889,0.93786,0.1877,0.27841,0.21229,0.74821,0.000403335,0.000403335,0.000403335
31,607.01,0.22333,0.2804,0.23083,0.79737,0.97474,0.98635,0.98773,0.96847,0.97474,0.98635,0.98773,0.93657,0.19891,0.29022,0.21004,0.74906,0.000367967,0.000367967,0.000367967
32,624.221,0.22687,0.27531,0.22019,0.80058,0.96828,0.99765,0.98972,0.97581,0.96828,0.99765,0.98972,0.94519,0.1841,0.27722,0.21896,0.74818,0.0003326,0.0003326,0.0003326
33,643.019,0.21732,0.27089,0.2152,0.7973,0.9616,0.99822,0.98967,0.97423,0.9616,0.99822,0.98967,0.94336,0.19916,0.27284,0.21901,0.74922,0.000297232,0.000297232,0.000297232
34,660.582,0.2091,0.26658,0.20548,0.79085,0.96958,0.98904,0.98801,0.97682,0.96958,0.98904,0.98801,0.94132,0.17954,0.27743,0.2041,0.74548,0.000261864,0.000261864,0.000261864
35,678.807,0.20212,0.26556,0.20318,0.78718,0.96574,0.98622,0.98741,0.97371,0.96574,0.98622,0.98741,0.93913,0.17659,0.27101,0.2184,0.74299,0.000226497,0.000226497,0.000226497
36,697.951,0.1937,0.26345,0.19712,0.78699,0.96535,0.99243,0.9878,0.97644,0.96535,0.99243,0.9878,0.94372,0.16501,0.26682,0.18745,0.74338,0.000191129,0.000191129,0.000191129
37,718.756,0.1883,0.26194,0.18937,0.79305,0.97134,0.9871,0.98772,0.97949,0.97134,0.9871,0.98772,0.93973,0.15954,0.27628,0.19755,0.74161,0.000155761,0.000155761,0.000155761
38,737.925,0.17909,0.257,0.18279,0.78245,0.97054,0.98627,0.98763,0.9791,0.97054,0.98627,0.98763,0.937,0.15775,0.27157,0.1952,0.741,0.000120393,0.000120393,0.000120393
39,758.689,0.17473,0.25477,0.17772,0.78369,0.96662,0.99788,0.98846,0.97914,0.96662,0.99788,0.98846,0.94291,0.14588,0.26679,0.18365,0.74027,8.50255e-05,8.50255e-05,8.50255e-05
40,776.336,0.17194,0.2587,0.17434,0.78614,0.97153,0.98623,0.98755,0.97785,0.97153,0.98623,0.98755,0.94276,0.15116,0.26449,0.18183,0.74047,4.96578e-05,4.96578e-05,4.96578e-05
