epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,251.336,0.30626,0.3582,0.39995,0.84378,0.94932,0.98178,0.97458,0.9663,0.94932,0.98178,0.97458,0.94276,0.19095,0.24683,0.31977,0.7762,0.000403335,0.000403335,0.000403335
31,260.057,0.23341,0.26711,0.30545,0.81333,0.9635,0.98039,0.97404,0.96484,0.9635,0.98039,0.97404,0.94304,0.1999,0.24207,0.31127,0.7674,0.000367967,0.000367967,0.000367967
32,267.601,0.2333,0.25651,0.29936,0.81737,0.94374,0.98039,0.96077,0.95123,0.94374,0.98039,0.96077,0.92967,0.19774,0.23407,0.32475,0.77768,0.0003326,0.0003326,0.0003326
33,275.215,0.22829,0.24888,0.27958,0.80302,0.94916,0.98039,0.96398,0.95686,0.94916,0.98039,0.96398,0.93833,0.18297,0.23727,0.31439,0.77062,0.000297232,0.000297232,0.000297232
34,282.635,0.22186,0.25315,0.28365,0.81097,0.94815,0.98039,0.95569,0.94279,0.94815,0.98039,0.95569,0.92566,0.18659,0.22938,0.31939,0.76838,0.000261864,0.000261864,0.000261864
35,290.212,0.21285,0.24344,0.27041,0.80237,0.95041,0.98039,0.97694,0.9585,0.95041,0.98039,0.97694,0.94679,0.1854,0.22387,0.30323,0.76347,0.000226497,0.000226497,0.000226497
36,297.576,0.20545,0.24323,0.25407,0.80927,0.95052,0.98039,0.96963,0.9683,0.95052,0.98039,0.96963,0.94702,0.16542,0.22363,0.28076,0.76341,0.000191129,0.000191129,0.000191129
37,305.126,0.20398,0.24441,0.25509,0.81139,0.94764,0.98039,0.9602,0.952,0.94764,0.98039,0.9602,0.93235,0.16273,0.22266,0.28792,0.76231,0.000155761,0.000155761,0.000155761
38,312.503,0.19374,0.2392,0.24592,0.808,0.94799,0.98039,0.96341,0.9608,0.94799,0.98039,0.96341,0.93428,0.14731,0.22457,0.27862,0.76071,0.000120393,0.000120393,0.000120393
39,320.16,0.18705,0.24419,0.24431,0.81089,0.94845,0.98039,0.96307,0.95695,0.94845,0.98039,0.96307,0.94746,0.14978,0.22184,0.27639,0.76147,8.50255e-05,8.50255e-05,8.50255e-05
40,327.635,0.18154,0.23728,0.23056,0.79149,0.94904,0.98039,0.96414,0.96132,0.94904,0.98039,0.96414,0.94413,0.14366,0.22228,0.27791,0.76013,4.96578e-05,4.96578e-05,4.96578e-05
